Symbol,Description,Analyst Rating,Price,Price - Currency,Price Change % 1 day,Volume 1 day,Relative Volume 1 day,Market capitalization,Market capitalization - Currency,Price to earnings ratio,"EPS diluted, Trailing 12 months","EPS diluted, Trailing 12 months - Currency","EPS diluted growth %, TTM YoY","Dividend yield %, Trailing 12 months",Exchange,Sector,Industry
NVDA,NVIDIA Corporation,Strong buy,141.95,USD,-3.218108679348196,236403797,1.00441579638657,3476355425262,USD,55.91444440067751,2.5387,USD,235.18616318986005,0.0197253,NASDAQ,Electronic technology,Semiconductors
AAPL,Apple Inc.,Buy,229.87,USD,0.5907579205321172,38168200,0.9080699046288598,3474674214873.9995,USD,37.8704756256281,6.0699,USD,-0.9755779238788207,0.426328,NASDAQ,Electronic technology,Telecommunications equipment
MSFT,Microsoft Corporation,Strong buy,417,USD,1.0003148690871206,24814624,1.1095789265040628,3100345318359.0005,USD,34.41758350597149,12.1159,USD,17.332778105964493,0.719425,NASDAQ,Technology services,Packaged software
AMZN,"Amazon.com, Inc.",Strong buy,197.12,USD,-0.635144671841915,31530811,0.7082733896862303,2072718866156.9998,USD,42.24512976575727,4.6661,USD,143.63512949039264,0,NASDAQ,Retail trade,Internet retail
GOOG,Alphabet Inc.,Buy,166.57,USD,-1.577641219569851,24496966,1.3322062523962668,2026843703690,USD,22.095907673940438,7.5385,USD,44.529227937652166,0.240139,NASDAQ,Technology services,Internet software/Services
GOOGL,Alphabet Inc.,Strong buy,164.76,USD,-1.712104038656568,38604419,1.4106678894758449,2026843703690,USD,21.855806858128275,7.5385,USD,44.529227937652166,0.242777,NASDAQ,Technology services,Internet software/Services
META,"Meta Platforms, Inc.",Buy,559.14,USD,-0.701486440888676,9163694,0.7620034181202149,1411269806498.9998,USD,26.331677223386468,21.2345,USD,87.43986512132903,0.268269,NASDAQ,Technology services,Internet software/Services
TSLA,"Tesla, Inc.",Neutral,352.56,USD,3.804027794134971,89138622,0.7011310362319856,1131738680347,USD,96.58119658119658,3.6504,USD,17.54628884237642,0,NASDAQ,Consumer durables,Motor vehicles
BRK.A,Berkshire Hathaway Inc.,Neutral,714280,USD,0.9939908094733121,1527,0.8479093786440113,1027363890460.9999,USD,9.618491557290529,74261.1246,USD,40.80482489151637,0,NYSE,Finance,Property/Casualty insurance
BRK.B,Berkshire Hathaway Inc. New,Neutral,476.57,USD,0.9553870270728277,3885176,1.0047388423181278,1027363890460.9999,USD,9.626237693758913,49.5074,USD,40.804828172683386,0,NYSE,Finance,Property/Casualty insurance
TSM,Taiwan Semiconductor Manufacturing Company Ltd.,Strong buy,190.08,USD,-0.6065676636686868,8838863,0.7039673744015209,827467912293.75,USD,30.433738412027477,6.2457,USD,12.395400313124235,0.914996,NYSE,Electronic technology,Semiconductors
AVGO,Broadcom Inc.,Strong buy,164.23,USD,0.17689398560448458,17332460,0.9458108580297492,767048704752,USD,142.95786908077994,1.1488,USD,-64.54649260870907,1.28174,NASDAQ,Electronic technology,Semiconductors
WMT,Walmart Inc.,Strong buy,90.44,USD,2.3192668853942724,23990505,1.3171807691417166,726979437945,USD,37.14015851505072,2.4351,USD,21.27595995816525,0.898386,NYSE,Retail trade,Specialty stores
LLY,Eli Lilly and Company,Buy,748.01,USD,-0.25469383400895673,4015450,0.7631650218803305,710097626451,USD,81.82573975824536,9.1415,USD,68.73707914943887,0.672451,NYSE,Health technology,Pharmaceuticals: major
JPM/PL,"J P Morgan Chase & Co Depositary Shares, each representing a 1/400th interest in a share of 4.625% Non-Cumulative Preferred Stock, Series LL",,21.39,USD,0.6588235294117675,211618,1.2280759787066489,699752908799,USD,1.1898735585507907,17.9767,USD,7.310768863419306,1.85073,NYSE,Finance,Major banks
JPM/PM,"J P Morgan Chase & Co Depositary Shares, each representing a 1/400th interest in a share of 4.20% Non-Cumulative Preferred Stock, Series MM",,19.44,USD,0.41322314049587733,95354,0.39080068771478277,699752908799,USD,1.0813998119788393,17.9767,USD,7.310768863419306,1.85073,NYSE,Finance,Major banks
JPM/PJ,"J P Morgan Chase & Co Depositary Shares, each representing a 1/400th interest in a share of JPMorgan Chase & Co. 4.75% Non-Cumulative Preferred Stock, Series GG",,22.25,USD,0.4741476631293765,38231,0.5138637429753854,699752908799,USD,1.2377132621671385,17.9767,USD,7.310768863419306,1.85073,NYSE,Finance,Major banks
JPM/PD,"J P Morgan Chase & Co Depositary Shares, each representing a 1/400th interest in a share of 5.75% Non-Cumulative Preferred Stock, Series DD",,25.17,USD,-0.07939658594680259,42814,0.43252187915774715,699752908799,USD,1.400145744213343,17.9767,USD,7.310768863419306,1.85073,NYSE,Finance,Major banks
JPM,JP Morgan Chase & Co.,Buy,248.55,USD,1.5484556300049113,7997307,0.867501937973964,699752908799,USD,13.826230620747967,17.9767,USD,7.310768863419306,1.85073,NYSE,Finance,Major banks
JPM/PC,"J P Morgan Chase & Co Depositary Shares, each representing a 1/400th interest in a share of 6.00% Non-Cumulative Preferred Stock, Series EE",,25.38,USD,-0.0787401574803133,72468,0.5362538155582277,699752908799,USD,1.4118275323057068,17.9767,USD,7.310768863419306,1.85073,NYSE,Finance,Major banks
JPM/PK,"J P Morgan Chase & Co Depositary Shares, each representing a 1/400th interest in a share of 4.55% Non-Cumulative Preferred Stock, Series JJ",,20.78,USD,0.19286403085825798,132844,0.8640344458645125,699752908799,USD,1.1559407455205906,17.9767,USD,7.310768863419306,1.85073,NYSE,Finance,Major banks
V,Visa Inc.,Buy,309.92,USD,0.00645369474025126,5919518,1.1680317307448695,607362616063,USD,32.30554339441699,9.5934,USD,17.69310040239476,0.671141,NYSE,Commercial services,Miscellaneous commercial services
UNH,UnitedHealth Group Incorporated,Strong buy,590.87,USD,-1.1079683341980626,3198124,0.9985163957965526,543768380886,USD,38.382138959621685,15.3944,USD,-33.188087529403596,1.34717,NYSE,Health services,Managed health care
XOM,Exxon Mobil Corporation,Buy,121.79,USD,-0.11481997867629012,13323431,0.980642480152219,535278590772,USD,15.169141092068553,8.0288,USD,-20.183714248789656,3.12012,NYSE,Energy minerals,Integrated oil
ORCL,Oracle Corporation,Buy,192.29,USD,-0.0727537286285999,6879447,0.9262402151785895,532847683411.99994,USD,49.60274467316721,3.8766,USD,15.330378127510185,0.832077,NYSE,Technology services,Packaged software
MA,Mastercard Incorporated,Buy,520.86,USD,1.1182294700058224,3130470,1.238589378581832,478061452721,USD,39.38926448568447,13.2234,USD,15.177381564163086,0.506854,NYSE,Commercial services,Miscellaneous commercial services
TCEHY,Tencent Holding Ltd.,Strong buy,51.2,USD,-1.9157088122605364,2064621,0.8453444090367324,472609074649.08765,USD,20.620217478856222,2.483,USD,-12.25838368846955,0.746268,OTC,Technology services,Packaged software
TCTZF,Tencent Holding Ltd.,Strong buy,51.03,USD,-0.5263157894736765,4036,0.30183147991654014,468686636828.388,USD,20.455473994333587,2.4946867530000003,USD,-11.772271741632226,0.848727,OTC,Technology services,Packaged software
NVO,Novo Nordisk A/S,Buy,105.06,USD,2.3677287342882267,6143345,1.0364085411463475,467539980178.92084,USD,34.06725250494504,3.0839,USD,28.164741085529037,0.97635,NYSE,Health technology,Pharmaceuticals: major
NONOF,Novo-Nordisk A/S,Buy,105,USD,2.098960146400192,5881,0.15488910719506124,465609382755.5134,USD,33.18982460303496,3.1636202136000002,USD,33.832318770471105,1.31842,OTC,Health technology,Pharmaceuticals: major
COST,Costco Wholesale Corporation,Buy,964.01,USD,0.8747972584105073,2078740,1.0240491494722876,427127305301.00006,USD,58.1998092225214,16.5638,USD,17.003256408626303,0.452277,NASDAQ,Retail trade,Specialty stores
HD,"Home Depot, Inc. (The)",Buy,420,USD,2.3267145815568306,4932501,1.300540146578557,417212296143.00006,USD,28.535710403304705,14.7184,USD,-5.558656887845124,2.10476,NYSE,Retail trade,Home improvement chains
PG,Procter & Gamble Company (The),Buy,176.28,USD,2.0434153400868316,10609785,1.5407438359522128,415146756470.9999,USD,30.40358744394619,5.798,USD,-5.738904243212482,2.24654,NYSE,Consumer non-durables,Household/Personal care
NFLX,"Netflix, Inc.",Buy,897.79,USD,0.03454115969157479,3213835,0.970742511465178,383767625034.99994,USD,50.80296514259846,17.672,USD,76.20899391763885,0,NASDAQ,Technology services,Internet software/Services
JNJ,Johnson & Johnson,Buy,155.17,USD,-0.21221864951769293,8265960,0.9792443383890077,373590863775,USD,25.649629727585292,6.0496,USD,15.461398988453103,3.13205,NYSE,Health technology,Pharmaceuticals: major
BAC/PN,"Bank of America Corporation Depositary shares, each representing 1/1,000th interest in a share of 5.000% Non-Cumulative Preferred Stock, Series LL",,22.11,USD,0.22665457842248737,49578,0.35402843195781764,360625331543,USD,8.037369588134792,2.7509,USD,-22.902945545248162,2.08511,NYSE,Finance,Major banks
BML/PG,"Bank of America Corporation Depositary Shares (Each representing a 1/1200th interest in a share of Floating Rate Non-Cumulative Preferred Stock , Series 1)",,22.845,USD,0.7239603541321181,10058,1.3776761132494144,360625331543,USD,8.30455487295067,2.7509,USD,-22.902945545248162,2.08511,NYSE,Finance,Major banks
BML/PJ,Bank of America Corporation Depositary Shares (Each representing a 1/1200th interest in a Share of Floating Rate Non-Cumulative Pref,,23.75,USD,0.4105204858600894,6972,0.8348800728065239,360625331543,USD,8.633538114798792,2.7509,USD,-22.902945545248162,2.08511,NYSE,Finance,Major banks
BML/PL,Bank of America Corporation Depositary Shares (Each representing a 1/1200th Interest in a Share of Floating Rate Non-Cumulative Pref,,24.22,USD,0.24834437086092187,32628,1.5194966678930186,360625331543,USD,8.804391290123231,2.7509,USD,-22.902945545248162,2.08511,NYSE,Finance,Major banks
BAC/PO,"Bank of America Corporation Depositary shares, each representing 1/1,000th interest in a share of 4.375% Non-Cumulative Preferred Stock, Series NN",,19.48,USD,0.20576131687242358,91969,1.343613493257754,360625331543,USD,7.081318841106547,2.7509,USD,-22.902945545248162,2.08511,NYSE,Finance,Major banks
